2024-08-31 13:39:49,871 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:39:50,050 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:39:50,778 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:14,231 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:14,780 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:15,038 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:15,489 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:16,294 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:16,620 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:16,780 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:17,151 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:17,912 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:18,295 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:18,480 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:19,170 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:20,037 - Epoch 1/20 --> Training Loss : 0.6984, Validation Loss : 0.8800, Time: 993.87 seconds
2024-08-31 13:41:20,043 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:20,582 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:20,807 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:41:21,308 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:42:45,017 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:42:45,720 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:42:46,050 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:42:46,498 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:44:10,000 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:44:10,618 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:44:10,883 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:44:11,396 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:45:34,372 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:45:35,095 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:45:35,427 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:45:36,103 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:46:58,581 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:46:59,256 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:46:59,527 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:47:00,032 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:48:22,154 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:48:22,749 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:48:23,017 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:48:23,470 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:49:45,745 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
2024-08-31 13:49:46,343 - pixdim[0] (qfac) should be 1 (default) or -1; setting qfac to 1
